X,Y,OBJECTID,CODI_ENS,NOM_ENS,TIPUS,MODEL,LONGITUD,LATITUD,EXTRACCIO
418214.8012,4578386.4593,24467,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.022316,41.352827,2023/04/10 07:10:15+00
419697.0158,4577905.8964,24468,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.040096,41.348648,2023/04/10 07:10:15+00
418017.9352,4577445.6826,24469,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.02009,41.344334,2023/04/10 07:10:15+00
419428.1487,4577744.1061,24470,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.036904,41.347164,2023/04/10 07:10:15+00
417951.9571,4577575.115,24471,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.019284,41.345493,2023/04/10 07:10:15+00
419355.9822,4577642.4255,24472,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.036055,41.346241,2023/04/10 07:10:15+00
417864.3003,4577422.7709,24473,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.018257,41.344112,2023/04/10 07:10:15+00
419575.5271,4578011.3901,24474,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.03863,41.349586,2023/04/10 07:10:15+00
418820.6763,4578310.2581,24475,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.029568,41.352202,2023/04/10 07:10:15+00
418027.4781,4577549.7232,24476,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.02019,41.345272,2023/04/10 07:10:15+00
419794.7293,4577927.577,24477,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.041261,41.348853,2023/04/10 07:10:15+00
419827.8816,4576543.4228,24478,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.04184,41.33639,2023/04/10 07:10:15+00
419528.0917,4577121.5518,24143,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.038181,41.341567,2023/04/10 07:10:15+00
419799.8805,4577152.1854,24144,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.041425,41.34187,2023/04/10 07:10:15+00
419804.4577,4577149.9142,24145,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.04148,41.34185,2023/04/10 07:10:15+00
419409.0822,4577277.984,24146,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.036738,41.342964,2023/04/10 07:10:15+00
419874.3951,4577633.3508,24147,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.042252,41.346211,2023/04/10 07:10:15+00
419497.291,4577332.0766,24148,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.037785,41.34346,2023/04/10 07:10:15+00
419963.2347,4576402.4734,24149,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.043476,41.335134,2023/04/10 07:10:15+00
419782.6915,4576702.3642,24150,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.041279,41.337817,2023/04/10 07:10:15+00
419910.5891,4576356.3099,24151,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.042853,41.334713,2023/04/10 07:10:15+00
418883.5192,4576881.7933,24152,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.03051,41.339343,2023/04/10 07:10:15+00
419582.8384,4577214.1005,24153,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.038823,41.342406,2023/04/10 07:10:15+00
419840.0473,4576303.7934,24154,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.042017,41.334233,2023/04/10 07:10:15+00
420075.4715,4576510.1585,24155,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.044803,41.336115,2023/04/10 07:10:15+00
419960.4775,4576395.2867,24156,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.043444,41.335069,2023/04/10 07:10:15+00
419996.8476,4576422.6436,24157,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.043875,41.335319,2023/04/10 07:10:15+00
420073.7931,4576509.7328,24158,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.044783,41.336111,2023/04/10 07:10:15+00
418608.1952,4578327.5175,24159,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.027026,41.352336,2023/04/10 07:10:15+00
420051.6257,4576472.5594,24160,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.044523,41.335774,2023/04/10 07:10:15+00
419721.3332,4577215.0097,24161,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.040478,41.342428,2023/04/10 07:10:15+00
419699.4506,4577082.5689,24162,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.040234,41.341233,2023/04/10 07:10:15+00
419388.7763,4577468.7402,24163,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.03647,41.34468,2023/04/10 07:10:15+00
420023.6912,4577225.7719,24164,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.04409,41.342555,2023/04/10 07:10:15+00
419055.5099,4579006.3597,24165,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.032282,41.358495,2023/04/10 07:10:15+00
418941.4342,4576800.0928,24166,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.031213,41.338613,2023/04/10 07:10:15+00
419541.3581,4576333.0796,24167,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.038444,41.334467,2023/04/10 07:10:15+00
419609.1109,4576262.0459,24168,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.039263,41.333834,2023/04/10 07:10:15+00
419343.282,4576145.7469,24169,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.036102,41.33276,2023/04/10 07:10:15+00
419225.9714,4576523.6711,24170,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.03465,41.336152,2023/04/10 07:10:15+00
419401.5518,4576200.5045,24171,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.036791,41.333259,2023/04/10 07:10:15+00
419688.2467,4576175.8977,24172,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.04022,41.333066,2023/04/10 07:10:15+00
419736.1321,4575972.9576,24173,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.040819,41.331243,2023/04/10 07:10:15+00
419606.0999,4576103.5262,24174,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.039248,41.332406,2023/04/10 07:10:15+00
