,base_solution,heuristic,search,iterations,temp_coef,population_size,mutation_probability,tabu_queue_coef,swap_any_to_generate,TotalDistance,TotalTime,UnusedTrucksCount,OrphansCount,execution_time,TotalFuel,TrucksCount
297,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,GENETIC,400.0,,20.0,0.3,,,1774.4937,6.686793336313564,0,0,385.6744158267975,443.623425,15
298,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,GENETIC,400.0,,10.0,0.1,,,1803.0972,4.743042224457395,0,0,297.18544363975525,450.7743,20
299,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,GENETIC,400.0,,20.0,0.3,,,1804.9367,4.798655557790729,0,0,659.9517660140991,451.234175,20
300,SIMPLE_GREEDY,ANY_MOVE_EXPORTATION_FIXED2,TABU,500.0,,,,0.3,500.0,1733.5316999999998,12.623280003725291,0,0,327.78496289253235,433.38292499999994,10
301,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,GENETIC,400.0,,10.0,0.3,,,1807.3659000000005,4.788895557790728,0,0,303.923898935318,451.8414750000001,20
302,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,GENETIC,200.0,,20.0,0.1,,,1742.5491,12.862960003725295,0,0,188.62226176261902,435.637275,10
303,SIMPLE_GREEDY,ANY_MOVE_EXPORTATION,ANNEALING,3000.0,0.0001,,,,,1822.8273,4.967260002235174,0,0,270.6649661064148,455.706825,20
304,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,TABU,200.0,,,,0.3,,1777.8315999999995,6.672011114091343,0,0,70.15290093421936,444.4578999999999,15
305,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,ANNEALING,5000.0,1e-05,,,,,1812.9713000000004,6.9261044474246765,0,0,94.811115026474,453.2428250000001,15
306,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,GENETIC,200.0,,20.0,0.1,,,1781.0820000000003,6.63234889186912,0,0,252.77491998672485,445.2705000000001,15
307,SIMPLE_GREEDY,ANY_EXPORTATION_TIME1,TABU,200.0,,,,0.3,,1757.3630999999996,12.906693337058623,0,0,66.11116600036621,439.3407749999999,10
308,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,ANNEALING,3000.0,0.0001,,,,,1815.0292000000002,4.821600002235173,0,0,202.09302306175232,453.75730000000004,20
309,SIMPLE_GREEDY,ANY_EXPORTATION,TABU,500.0,,,,0.5,,1816.1702000000005,4.910751113346285,0,0,87.85086822509766,454.0425500000001,20
