FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2080,loc1160,1160,Vechtstraat,181,huisvuil - loc1160,53.2081,6.5698,POINT (234014.092 580809.286)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-207f,loc1160,1160,Vechtstraat,182,huisvuil - loc1160,53.2081,6.5698,POINT (234014.092 580809.286)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-207e,loc1162,1162,Parkweg Oost,184,huisvuil - loc1162,53.2087,6.5674,POINT (233848.652 580873.359)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-207d,loc1162,1162,Parkweg Oost,185,huisvuil - loc1162,53.2087,6.5674,POINT (233848.652 580873.359)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-207c,loc1163,1163,Rijnstraat Noord,186,huisvuil - loc1163,53.2078,6.5643,POINT (233644.397 580777.632)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-207b,loc1163,1163,Rijnstraat Noord,187,huisvuil - loc1163,53.2078,6.5643,POINT (233644.397 580777.632)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-207a,loc1163,1163,Rijnstraat Noord,1318,huisvuil - loc1163,53.2078,6.5643,POINT (233644.397 580777.632)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2079,loc1165,1165,Berkelstraat Noord,189,huisvuil - loc1165,53.2074,6.5655,POINT (233727.3 580734.463)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2078,loc1165,1165,Berkelstraat Noord,190,huisvuil - loc1165,53.2074,6.5655,POINT (233727.3 580734.463)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2077,loc1166,1166,Lingestraat,191,huisvuil - loc1166,53.207,6.5636,POINT (233601.813 580684.55)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2076,loc1167,1167,Hoornsediep Noord,192,huisvuil - loc1167,53.207,6.5628,POINT (233546.471 580676.968)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2075,loc1168,1168,Rijnstraat Zuid,193,huisvuil - loc1168,53.2068,6.5649,POINT (233682.98 580665.84)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2074,loc1169,1169,Rivierenhof West,194,huisvuil - loc1169,53.2057,6.5643,POINT (233648.94 580540.617)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2073,loc1169,1169,Rivierenhof West,195,huisvuil - loc1169,53.2057,6.5643,POINT (233648.94 580540.617)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2072,loc1170,1170,Rivierenhof Midden,196,huisvuil - loc1170,53.2059,6.5658,POINT (233748.234 580557.824)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2071,loc1170,1170,Rivierenhof Midden,197,huisvuil - loc1170,53.2059,6.5658,POINT (233748.234 580557.824)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2070,loc1171,1171,Rivierenhof Oost,198,huisvuil - loc1171,53.206,6.5664,POINT (233788.102 580571.833)
